vocsize,bias_neg,bias_pos,fpr,tpr,acc
100,4.0,-4.0,0.0005,0.348,67.38
200,4.0,-4.0,0.0005,0.432,71.58
400,4.0,-4.0,0.001,0.559,77.9
800,4.0,-4.0,0.001,0.6665,83.28
1000,4.0,-4.0,0.0015,0.697,84.78
2000,4.0,-4.0,0.0015,0.7665,88.25
4000,4.0,-4.0,0.002,0.8095,90.38
8000,4.0,-4.0,0.002,0.8415,91.98
100,5.0,-5.0,0.0,0.227,61.35
200,5.0,-5.0,0.0,0.316,65.8
400,5.0,-5.0,0.0,0.4265,71.32
800,5.0,-5.0,0.0005,0.541,77.03
1000,5.0,-5.0,0.0005,0.5805,79.0
2000,5.0,-5.0,0.0005,0.672,83.58
4000,5.0,-5.0,0.001,0.727,86.3
8000,5.0,-5.0,0.001,0.7635,88.12
100,6.0,-6.0,0.0,0.142,57.1
200,6.0,-6.0,0.0,0.2085,60.42
400,6.0,-6.0,0.0,0.311,65.55
800,6.0,-6.0,0.0,0.429,71.45
1000,6.0,-6.0,0.0,0.4715,73.58
2000,6.0,-6.0,0.0005,0.562,78.08
4000,6.0,-6.0,0.0005,0.626,81.27
8000,6.0,-6.0,0.0005,0.666,83.28
100,7.0,-7.0,0.0,0.09,54.5
200,7.0,-7.0,0.0,0.1305,56.53
400,7.0,-7.0,0.0,0.216,60.8
800,7.0,-7.0,0.0,0.318,65.9
1000,7.0,-7.0,0.0,0.3535,67.68
2000,7.0,-7.0,0.0005,0.452,72.58
4000,7.0,-7.0,0.0005,0.522,76.08
8000,7.0,-7.0,0.0,0.5725,78.62
100,8.0,-8.0,0.0,0.061,53.05
200,8.0,-8.0,0.0,0.096,54.8
400,8.0,-8.0,0.0,0.145,57.25
800,8.0,-8.0,0.0,0.2285,61.42
1000,8.0,-8.0,0.0,0.2565,62.82
2000,8.0,-8.0,0.0,0.3465,67.32
4000,8.0,-8.0,0.0,0.4085,70.43
8000,8.0,-8.0,0.0,0.46,73.0


