NEGATIVE CLASS
kills 5.724720123597317
iraq 5.520807934210995
afghanistan 5.041234853949109
wins 5.041234853949109
leader 5.011964471648995
wikinews 4.839495211298052
announces 4.803563202071989
zealand 4.753552781497328
nuclear 4.74064937666142
iraqi 4.714332068344047

POSITIVE CLASS
2015 -5.535401232640274
things -5.526074049765136
these -5.0754267188637385
tweets -4.855429473238894
you -4.842736212166816
guess -4.8071627322690595
hilarious -4.600368318956379
actually -4.595853638601851
ve -4.455186309111881
instagram -4.40717708992552
